Level 22 Age-Composition Residual Diagnostics
=============================================

Interpretation
--------------
Residuals are observed minus predicted age-composition proportions after
propagating the fitted initial numbers and recruitment deviations. Large
fleet/year/age patterns indicate where the age-composition likelihood is
driving compensation through recruitment, initial numbers, or selectivity.

Rows
----
year,fleet,age,observed,predicted,residual,abs_residual
2001,longline,1,2e-08,5.32972000338956e-06,-5.30972000338956e-06,5.30972000338956e-06
2001,longline,2,2.12e-06,5.35203218452386e-05,-5.14003218452386e-05,5.14003218452386e-05
2001,longline,3,0.00012188,0.000431856190503259,-0.000309976190503259,0.000309976190503259
2001,longline,4,0.00306002,0.00333073741308003,-0.000270717413080025,0.000270717413080025
2001,longline,5,0.03361977,0.0283191433880445,0.00530062661195553,0.00530062661195553
2001,longline,6,0.16163849,0.18934878320291,-0.0277102932029104,0.0277102932029104
2001,longline,7,0.34007423,0.363595406788722,-0.0235211767887218,0.0235211767887218
2001,longline,8,0.31309896,0.242671768190372,0.0704271918096282,0.0704271918096282
2001,longline,9,0.12614454,0.100280561474776,0.025863978525224,0.025863978525224
2001,longline,10,0.02223997,0.0719628933097435,-0.0497229233097434,0.0497229233097434
2001,purse_seine,1,0.19500212,0.458553351963482,-0.263551231963482,0.263551231963482
2001,purse_seine,2,0.42353396,0.318674990551087,0.104858969448913,0.104858969448913
2001,purse_seine,3,0.30375569,0.151279151309803,0.152476538690197,0.152476538690197
2001,purse_seine,4,0.07193626,0.0523369063823732,0.0195993536176268,0.0195993536176268
2001,purse_seine,5,0.00562547,0.0143440677387629,-0.00871859773876291,0.00871859773876291
2001,purse_seine,6,0.00014526,0.00358055810171954,-0.00343529810171954,0.00343529810171954
2001,purse_seine,7,1.24e-06,0.000901292848503677,-0.000900052848503677,0.000900052848503677
2001,purse_seine,8,0,0.000258071406582341,-0.000258071406582341,0.000258071406582341
2001,purse_seine,9,0,5.27115458212671e-05,-5.27115458212671e-05,5.27115458212671e-05
2001,purse_seine,10,0,1.88981518652833e-05,-1.88981518652833e-05,1.88981518652833e-05
2002,longline,1,1.99999998e-08,4.89665548132477e-06,-4.87665548152477e-06,4.87665548152477e-06
2002,longline,2,2.0499999795e-06,4.22530147498362e-05,-4.02030147703362e-05,4.02030147703362e-05
2002,longline,3,0.0001184299988157,0.000424251927101417,-0.000305821928285717,0.000305821928285717
2002,longline,4,0.0029929299700707,0.00345361263197494,-0.000460682661904239,0.000460682661904239
2002,longline,5,0.0330979796690202,0.0265833864656449,0.00651459320337529,0.00651459320337529
2002,longline,6,0.160171418398286,0.175059246315892,-0.0148878279176057,0.0148878279176057
2002,longline,7,0.339193546608065,0.331003600448837,0.00818994615922769,0.00818994615922769
2002,longline,8,0.314332336856677,0.234318735165529,0.0800136016911479,0.0800136016911479
2002,longline,9,0.127470438725296,0.134612620553871,-0.00714218182857529,0.00714218182857529
2002,longline,10,0.0226208497737915,0.0944973968209195,-0.071876547047128,0.071876547047128
2002,purse_seine,1,0.194280648057194,0.471402107123278,-0.277121459066084,0.277121459066084
2002,purse_seine,2,0.423199145768009,0.28150976125283,0.141689384515179,0.141689384515179
2002,purse_seine,3,0.304401876955981,0.16629157461787,0.138110302338111,0.138110302338111
2002,purse_seine,4,0.0722998092770019,0.0607222378768068,0.0115775714001951,0.0115775714001951
2002,purse_seine,5,0.0056704099432959,0.0150663833012285,-0.00939597335793264,0.00939597335793264
2002,purse_seine,6,0.0001468499985315,0.00370407484212816,-0.00355722484359666,0.00355722484359666
2002,purse_seine,7,1.2599999874e-06,0.000918093148976366,-0.000916833148988966,0.000916833148988966
2002,purse_seine,8,0,0.000278826559994196,-0.000278826559994196,0.000278826559994196
2002,purse_seine,9,0,7.91737593117235e-05,-7.91737593117235e-05,7.91737593117235e-05
2002,purse_seine,10,0,2.77675175764365e-05,-2.77675175764365e-05,2.77675175764365e-05
2003,longline,1,1e-08,4.67691064586631e-06,-4.66691064586631e-06,4.66691064586631e-06
2003,longline,2,1.98e-06,3.99923876818064e-05,-3.80123876818064e-05,3.80123876818064e-05
2003,longline,3,0.00011508,0.000345054174601531,-0.000229974174601531,0.000229974174601531
2003,longline,4,0.00292717,0.00349528647006976,-0.000568116470069757,0.000568116470069757
2003,longline,5,0.03258263,0.028396709019612,0.00418592098038804,0.00418592098038804
2003,longline,6,0.15870965,0.169293281957987,-0.0105836319579868,0.0105836319579868
2003,longline,7,0.33829803,0.315267883361839,0.0230301466381608,0.0230301466381608
2003,longline,8,0.31555461,0.21975857049424,0.0957960395057597,0.0957960395057597
2003,longline,9,0.12880376,0.133905376887656,-0.00510161688765567,0.00510161688765567
2003,longline,10,0.02300708,0.129493168335667,-0.106486088335667,0.106486088335667
2003,purse_seine,1,0.19356058,0.481893979138708,-0.288333399138708,0.288333399138708
2003,purse_seine,2,0.42286186,0.285176377545461,0.137685482454539,0.137685482454539
2003,purse_seine,3,0.30504745,0.144755197139264,0.160292252860736,0.160292252860736
2003,purse_seine,4,0.07266471,0.0657744730868994,0.00689023691310058,0.00689023691310058
2003,purse_seine,5,0.00571567,0.0172253151108936,-0.0115096451108936,0.0115096451108936
2003,purse_seine,6,0.00014846,0.00383384791055802,-0.00368538791055802,0.00368538791055802
2003,purse_seine,7,1.27e-06,0.00093591027867098,-0.00093464027867098,0.00093464027867098
2003,purse_seine,8,0,0.000279880992179284,-0.000279880992179284,0.000279880992179284
2003,purse_seine,9,0,8.42934755666938e-05,-8.42934755666938e-05,8.42934755666938e-05
2003,purse_seine,10,0,4.07253217988221e-05,-4.07253217988221e-05,4.07253217988221e-05
2004,longline,1,1e-08,4.44979939333451e-06,-4.43979939333451e-06,4.43979939333451e-06
2004,longline,2,1.91e-06,3.81427572284019e-05,-3.62327572284019e-05,3.62327572284019e-05
2004,longline,3,0.00011181,0.000326123537770652,-0.000214313537770652,0.000214313537770652
2004,longline,4,0.00286271,0.0028387128555769,2.3997144423105e-05,2.3997144423105e-05
2004,longline,5,0.03207369,0.0286980500944132,0.0033756399055868,0.0033756399055868
2004,longline,6,0.15725327,0.180581250853878,-0.0233279808538785,0.0233279808538785
2004,longline,7,0.33738781,0.304445547846106,0.0329422621538937,0.0329422621538937
2004,longline,8,0.31676562,0.209010479195968,0.107755140804032,0.107755140804032
