section,level,field,value
level_summary,level20,objective,1738.51842831
level_summary,level20,grad_norm,0.0142464011344
level_summary,level20,converged,no
level_summary,level20,m_convention,fixed_m_like
level_summary,level20,selectivity_regularization,template_prior
level_summary,level20,fleet_specific_baranov,no
level_summary,level20,total_f_in_survival,unclear/no
level_summary,level20,old_catch_share_leftover,yes
level_summary,level20,composition_basis,vulnerable_numbers
level_summary,level20,plus_group_dynamics,plus_accumulator
level_summary,level20,plus_initialization,unclear
level_summary,level21,objective,1731.59519524
level_summary,level21,grad_norm,0.0383493123725
level_summary,level21,converged,no
level_summary,level21,m_convention,estimated_age_m
level_summary,level21,selectivity_regularization,template_prior
level_summary,level21,fleet_specific_baranov,yes
level_summary,level21,total_f_in_survival,yes
level_summary,level21,old_catch_share_leftover,no
level_summary,level21,composition_basis,catch_at_age
level_summary,level21,plus_group_dynamics,plus_accumulator
level_summary,level21,plus_initialization,m_only_equilibrium
level_summary,level23,objective,1743.39923501
level_summary,level23,grad_norm,0.0290879021153
level_summary,level23,converged,no
level_summary,level23,m_convention,fixed_m_like
level_summary,level23,selectivity_regularization,template_prior
level_summary,level23,fleet_specific_baranov,yes
level_summary,level23,total_f_in_survival,yes
level_summary,level23,old_catch_share_leftover,no
level_summary,level23,composition_basis,catch_at_age
level_summary,level23,plus_group_dynamics,plus_accumulator
level_summary,level23,plus_initialization,unclear

section,topic,published_or_target_convention,current_interpretation
checklist,M-at-age,Published-style convention used fixed M-at-age.,"Level 21 estimates young/old M offsets; fixed-M diagnostic was worse, so M helps fit but may be confounded."
checklist,Selectivity,Published-style convention used smoothed/constrained selectivity.,"Template priors help, but Level 21 still pays large selectivity penalties; Level 23 smoothness scan is the right comparator."
checklist,Catch equation,Fleet-specific Baranov catch is preferred.,Level 21 appears to use fleet-specific catch-at-age and no old fleet_catch_share/total_catch_hat path.
checklist,Composition likelihood,Fishery age comps should usually use catch-at-age basis.,Level 21 appears to use fleet catch-at-age for predicted compositions.
checklist,Plus group,Plus group receives age-9 inflow plus surviving terminal fish.,Level 21 appears to use accumulator dynamics; M-only initialization is defensible for unfished initial state.
checklist,Optimizer,Check actual f(theta - alpha*g).,Remaining gradient has age-M/base-scale/selectivity components; directional descent is the decisive next test.
