year,rec_dev,recruitment_multiplier
2001,0.0389041426229,1.03967081876
2002,0.0416449939174,1.04252431058
2003,0.0427789718465,1.04370718068
2004,0.0435579175997,1.04452048868
2005,0.04523298932,1.04627160162
2006,0.0481485694249,1.04932654159
2007,0.0529498205945,1.05437673579
2008,0.0606962733516,1.06257613248
2009,0.0723509146037,1.07503252249
2010,0.0891001752416,1.09319016143
2011,0.116579532402,1.12364687325
2012,0.105650643311,1.11143352194
2013,0.0389614010711,1.0397303504
2014,0.0124260471492,1.01250357125
2015,0.0173958101192,1.01754799842
2016,0.0137787639984,1.01387412867
2017,0.0116922266386,1.0117608479
2018,-0.00634170577894,0.993678360397
2019,-0.0114373302374,0.988627827378
2020,0,1
