year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,1206.218347,18706.864738,15926.749389,1.000000,0.226277,1100.000000,3373.333368,-1.120591,0.490000,0.963085,-0.675736
2002,1206.218347,15183.631837,12753.056990,0.800732,0.226277,1135.000000,2726.662780,-0.876446,0.481360,0.781698,-0.484853
2003,1206.218347,12532.716733,10277.117138,0.645274,0.226277,1170.000000,2236.718666,-0.648006,0.472726,0.645221,-0.311077
2004,1206.218347,10579.101940,8391.832663,0.526902,0.226277,1210.000000,1874.348377,-0.437641,0.463859,0.544643,-0.160551
2005,1206.218347,9168.585887,7001.371153,0.439598,0.226277,1250.000000,1612.310233,-0.254525,0.454592,0.472026,-0.037635
2006,1206.218347,8169.624290,6006.157386,0.377111,0.226277,1280.000000,1426.616638,-0.108446,0.444839,0.420596,0.056039
2007,1206.218347,7474.416633,5310.949729,0.333461,0.226277,1315.000000,1297.358365,0.013506,0.434616,0.384805,0.121726
2008,1206.218347,6997.928477,4834.461573,0.303544,0.226277,1345.000000,1208.759318,0.106800,0.424025,0.360274,0.162929
2009,1206.218347,6675.398954,4511.932050,0.283293,0.226277,1375.000000,1148.786162,0.179748,0.413251,0.343669,0.184374
2010,1206.218347,6459.188374,4295.721470,0.269717,0.226277,1400.000000,1108.582375,0.233390,0.402530,0.332538,0.191015
2011,1206.218347,6315.164022,4151.697118,0.260674,0.226277,1420.000000,1081.801428,0.272029,0.392131,0.325123,0.187392
2012,1206.218347,6219.225082,4055.758177,0.254651,0.226277,1440.000000,1063.961835,0.302644,0.382319,0.320184,0.177361
2013,1206.218347,6155.317276,3991.850372,0.250638,0.226277,1460.000000,1052.078348,0.327669,0.373328,0.316894,0.163892
2014,1206.218347,6112.746370,3949.279466,0.247965,0.226277,1480.000000,1044.162400,0.348827,0.365333,0.314702,0.149181
2015,1206.218347,6084.388613,3920.921709,0.246185,0.226277,1495.000000,1038.889350,0.363974,0.358425,0.313242,0.134741
2016,1206.218347,6065.498661,3902.031757,0.244999,0.226277,1505.000000,1035.376813,0.374027,0.352611,0.312270,0.121497
2017,1206.218347,6052.915497,3889.448593,0.244209,0.226277,1515.000000,1033.037007,0.382912,0.347805,0.311622,0.109850
2018,1206.218347,6044.533474,3881.066570,0.243682,0.226277,1525.000000,1031.478392,0.391001,0.343836,0.311190,0.099760
2019,1206.218347,6038.949957,3875.483053,0.243332,0.226277,1535.000000,1030.440152,0.398544,0.340471,0.310903,0.090849
2020,1206.218347,6035.230609,3871.763705,0.243098,0.226277,1545.000000,1029.748549,0.405709,0.337431,0.310711,0.082498
