year,biomass,index_hat,depletion,F_proxy
1,692.439,1.03547,1,0.132864
2,665.86,0.995723,0.961616,0.141922
3,652.941,0.976403,0.942958,0.148559
4,645.25,0.964903,0.931852,0.14723
5,638.769,0.95521,0.922491,0.154986
6,631.645,0.944558,0.912204,0.161483
7,627.491,0.938346,0.906205,0.160162
8,629.745,0.941717,0.90946,0.155619
9,634.347,0.948598,0.916105,0.151337
10,640.679,0.958067,0.92525,0.146719
11,647.099,0.967667,0.934521,0.143718
12,653.252,0.976869,0.943408,0.140068
13,660.019,0.986989,0.953181,0.13636
14,667.64,0.998385,0.964187,0.133305
15,673.807,1.00761,0.973092,0.130601
16,678.84,1.01513,0.980361,0.128896
17,682.864,1.02115,0.986172,0.127405
18,685.968,1.02579,0.990655,0.126099
19,687.769,1.02848,0.993256,0.125042
20,684.345,1.02336,0.988311,0.124937
