year,rec_dev,recruitment_multiplier
2001,0.0477273600578,1.04888464849
2002,0.0523985244279,1.05379562214
2003,0.0533189465913,1.0547660055
2004,0.054304850093,1.05580641578
2005,0.0552169348127,1.05676983998
2006,0.0556476099911,1.05722506254
2007,0.055669941326,1.05724867205
2008,0.0542525084467,1.05575115458
2009,0.0529566263951,1.0543839117
2010,0.053421764978,1.05487446041
2011,0.0587703883319,1.06053170233
2012,0.0507392650539,1.0520485517
2013,0.00350999346899,1.00351616071
2014,-0.0109792349599,0.989080816865
2015,-0.0135004357172,0.986590286443
2016,-0.0143947020741,0.985708406319
2017,-0.0230126656724,0.977250106165
2018,-0.0149082519286,0.98520232587
2019,-0.0188848251517,0.981292375935
2020,0,1
