year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,index_obs,index_hat
1,1200.000000,18610.426337,15844.643153,1.000000,0.025000,220.000000,345.358070,0.820000,0.930521
2,1200.000000,18266.814665,15510.159560,0.978890,0.025000,230.000000,337.918179,0.860000,0.913341
3,1200.000000,17966.741516,15213.823590,0.960187,0.025000,245.000000,331.288704,0.890000,0.898337
4,1200.000000,17709.239646,14957.544266,0.944013,0.025000,260.000000,325.531214,0.910000,0.885462
5,1200.000000,17491.700267,14740.311871,0.930303,0.025000,275.000000,320.637260,0.930000,0.874585
6,1200.000000,17310.353029,14559.015287,0.918860,0.025000,290.000000,316.546647,0.950000,0.865518
7,1200.000000,17160.754269,14409.416527,0.909419,0.025000,305.000000,313.168916,0.960000,0.858038
8,1200.000000,17038.203703,14286.865961,0.901684,0.025000,315.000000,310.401072,0.940000,0.851910
9,1200.000000,16938.169156,14186.831414,0.895371,0.025000,320.000000,308.141590,0.910000,0.846908
10,1200.000000,16856.633422,14105.295680,0.890225,0.025000,330.000000,306.299916,0.880000,0.842832
11,1200.000000,16790.209316,14038.871574,0.886033,0.025000,335.000000,304.799573,0.840000,0.839510
12,1200.000000,16736.096087,13984.758345,0.882617,0.025000,340.000000,303.577300,0.810000,0.836805
13,1200.000000,16692.012068,13940.674326,0.879835,0.025000,330.000000,302.581560,0.800000,0.834601
14,1200.000000,16656.098470,13904.760728,0.877569,0.025000,320.000000,301.770368,0.820000,0.832805
15,1200.000000,16626.841009,13875.503267,0.875722,0.025000,310.000000,301.109520,0.850000,0.831342
16,1200.000000,16603.006052,13851.668310,0.874218,0.025000,300.000000,300.571152,0.890000,0.830150
17,1200.000000,16583.588606,13832.250864,0.872992,0.025000,295.000000,300.132564,0.930000,0.829179
18,1200.000000,16567.769941,13816.432199,0.871994,0.025000,285.000000,299.775263,0.970000,0.828388
19,1200.000000,16554.883067,13803.545325,0.871181,0.025000,275.000000,299.484183,1.010000,0.827744
20,1200.000000,16544.384614,13793.046872,0.870518,0.025000,265.000000,299.247051,1.040000,0.827219
