year,biomass,ssb_proxy,depletion,F_proxy,index_hat
1,1460.000000,511.000000,1.042857,0.037671,1.460000
2,1507.000000,527.450000,1.076429,0.038155,1.507000
3,1536.650000,537.827500,1.097607,0.039859,1.536650
4,1549.817500,542.436125,1.107013,0.041940,1.549818
5,1547.326625,541.564319,1.105233,0.044431,1.547327
6,1529.960294,535.486103,1.092829,0.047387,1.529960
7,1498.462279,524.461798,1.070330,0.050885,1.498462
8,1458.539165,510.488708,1.041814,0.053992,1.458539
9,1415.612207,495.464272,1.011152,0.056513,1.415612
10,1364.831597,477.691059,0.974880,0.060447,1.364832
11,1311.590017,459.056506,0.936850,0.063854,1.311590
12,1256.010516,439.603681,0.897150,0.067675,1.256011
13,1213.209990,424.623497,0.866579,0.068001,1.213210
14,1182.549491,413.892322,0.844678,0.067650,1.182549
15,1163.422016,407.197706,0.831016,0.066614,1.163422
16,1155.250915,404.337820,0.825179,0.064921,1.155251
17,1152.488369,403.370929,0.823206,0.063992,1.152488
18,1159.863951,405.952383,0.828474,0.061430,1.159864
19,1176.870753,411.904764,0.840622,0.058418,1.176871
20,1203.027216,421.059526,0.859305,0.055069,1.203027
