section,year,fleet,age,observed,predicted,residual,abs_residual
age_residual,2001,longline,1,2e-08,0.00120138938502691,-0.00120136938502691,0.00120136938502691
age_residual,2001,longline,2,2.12e-06,0.00177165525140737,-0.00176953525140737,0.00176953525140737
age_residual,2001,longline,3,0.00012188,0.00254657808176364,-0.00242469808176364,0.00242469808176364
age_residual,2001,longline,4,0.00306002,0.00510488946477433,-0.00204486946477433,0.00204486946477433
age_residual,2001,longline,5,0.03361977,0.0327322651812389,0.000887504818761119,0.000887504818761119
age_residual,2001,longline,6,0.16163849,0.157694837675601,0.00394365232439858,0.00394365232439858
age_residual,2001,longline,7,0.34007423,0.351613314215986,-0.0115390842159855,0.0115390842159855
age_residual,2001,longline,8,0.31309896,0.285320773865983,0.0277781861340172,0.0277781861340172
age_residual,2001,longline,9,0.12614454,0.13405194680892,-0.00790740680891977,0.00790740680891977
age_residual,2001,longline,10,0.02223997,0.0279623500692991,-0.00572238006929905,0.00572238006929905
age_residual,2001,purse_seine,1,0.19500212,0.18716990483632,0.00783221516368007,0.00783221516368007
age_residual,2001,purse_seine,2,0.42353396,0.419741878382336,0.00379208161766365,0.00379208161766365
age_residual,2001,purse_seine,3,0.30375569,0.31116119974576,-0.00740550974576021,0.00740550974576021
age_residual,2001,purse_seine,4,0.07193626,0.0688117908896579,0.00312446911034212,0.00312446911034212
age_residual,2001,purse_seine,5,0.00562547,0.00832113907887049,-0.00269566907887049,0.00269566907887049
age_residual,2001,purse_seine,6,0.00014526,0.00259484541138144,-0.00244958541138144,0.00244958541138144
age_residual,2001,purse_seine,7,1.24e-06,0.00128194967121229,-0.00128070967121229,0.00128070967121229
age_residual,2001,purse_seine,8,0,0.000503004298481941,-0.000503004298481941,0.000503004298481941
age_residual,2001,purse_seine,9,0,0.000210938087620617,-0.000210938087620617,0.000210938087620617
age_residual,2001,purse_seine,10,0,0.000203349598358934,-0.000203349598358934,0.000203349598358934
age_residual,2002,longline,1,1.99999998e-08,0.00118349680665107,-0.00118347680665127,0.00118347680665127
age_residual,2002,longline,2,2.0499999795e-06,0.00175921154558277,-0.00175716154560327,0.00175716154560327
age_residual,2002,longline,3,0.0001184299988157,0.0025308298882111,-0.0024123998893954,0.0024123998893954
age_residual,2002,longline,4,0.0029929299700707,0.00506461306454373,-0.00207168309447303,0.00207168309447303
age_residual,2002,longline,5,0.0330979796690202,0.0327913573241205,0.000306622344899692,0.000306622344899692
age_residual,2002,longline,6,0.160171418398286,0.158284985419107,0.00188643297917895,0.00188643297917895
age_residual,2002,longline,7,0.339193546608065,0.353763994805257,-0.0145704481971924,0.0145704481971924
age_residual,2002,longline,8,0.314332336856677,0.280670659999679,0.0336616768569978,0.0336616768569978
age_residual,2002,longline,9,0.127470438725296,0.137045918521785,-0.00957547979648896,0.00957547979648896
age_residual,2002,longline,10,0.0226208497737915,0.0269049326250637,-0.00428408285127219,0.00428408285127219
age_residual,2002,purse_seine,1,0.194280648057194,0.185903304722246,0.00837734333494758,0.00837734333494758
age_residual,2002,purse_seine,2,0.423199145768009,0.420231828513907,0.00296731725410149,0.00296731725410149
age_residual,2002,purse_seine,3,0.304401876955981,0.311787848898588,-0.0073859719426066,0.0073859719426066
age_residual,2002,purse_seine,4,0.0722998092770019,0.0688320302447828,0.00346777903221909,0.00346777903221909
age_residual,2002,purse_seine,5,0.0056704099432959,0.00840492619260193,-0.00273451624930603,0.00273451624930603
age_residual,2002,purse_seine,6,0.0001468499985315,0.00262604113302378,-0.00247919113449228,0.00247919113449228
age_residual,2002,purse_seine,7,1.2599999874e-06,0.00130043031054183,-0.00129917031055443,0.00129917031055443
age_residual,2002,purse_seine,8,0,0.00049888805944503,-0.00049888805944503,0.00049888805944503
age_residual,2002,purse_seine,9,0,0.000217428152330394,-0.000217428152330394,0.000217428152330394
age_residual,2002,purse_seine,10,0,0.000197273772533421,-0.000197273772533421,0.000197273772533421
age_residual,2003,longline,1,1e-08,0.00116727251011665,-0.00116726251011665,0.00116726251011665
age_residual,2003,longline,2,1.98e-06,0.00173278221170419,-0.00173080221170419,0.00173080221170419
age_residual,2003,longline,3,0.00011508,0.00251272186976119,-0.00239764186976119,0.00239764186976119
age_residual,2003,longline,4,0.00292717,0.00503262815698871,-0.00210545815698871,0.00210545815698871
age_residual,2003,longline,5,0.03258263,0.0325283426470944,5.4287352905559e-05,5.4287352905559e-05
age_residual,2003,longline,6,0.15870965,0.158549788692316,0.000159861307683973,0.000159861307683973
